,tweet_id,favorite_count,retweet_count
0,892420643555336193,35945,7635
1,892177421306343426,31025,5647
2,891815181378084864,23343,3741
3,891689557279858688,39233,7809
4,891327558926688256,37478,8401
5,891087950875897856,18893,2820
6,890971913173991426,10974,1836
7,890729181411237888,60578,17044
8,890609185150312448,25985,3881
9,890240255349198849,29689,6637
10,890006608113172480,28583,6622
11,889880896479866881,26000,4502
12,889665388333682689,44745,9032
13,889638837579907072,25185,4050
14,889531135344209921,14117,2042
15,889278841981685760,23475,4821
16,888917238123831296,27118,4061
17,888804989199671297,23823,3829
18,888554962724278272,18379,3143
19,888202515573088257,0,0
20,888078434458587136,20295,3137
21,887705289381826560,28187,4879
22,887517139158093824,43217,10653
23,887473957103951883,64043,16276
24,887343217045368832,31367,9475
25,887101392804085760,28550,5399
26,886983233522544640,32511,6932
27,886736880519319552,11163,2905
28,886680336477933568,20945,4049
29,886366144734445568,19694,2863
30,886267009285017600,111,4
31,886258384151887873,26079,5711
32,886054160059072513,0,100
33,885984800019947520,30375,6075
34,885528943205470208,33471,5778
35,885518971528720385,19076,3379
36,885311592912609280,0,16738
37,885167619883638784,20389,3951
38,884925521741709313,71792,16348
39,884876753390489601,25932,5042
40,884562892145688576,22653,4251
41,884441805382717440,25264,5148
42,884247878851493888,67605,18373
43,884162670584377345,19015,2711
44,883838122936631299,20364,3103
45,883482846933004288,42690,8934
46,883360690899218434,21124,3350
47,883117836046086144,34596,6014
48,882992080364220416,22267,3519
49,882762694511734784,26323,4418
50,882627270321602560,26089,5498
51,882268110199369728,41772,10471
52,882045870035918850,27317,4413
53,881906580714921986,22689,3077
54,881666595344535552,47237,9655
55,881633300179243008,116,7
56,881536004380872706,46113,14465
57,881268444196462592,21662,4781
58,880935762899988482,15948,2531
59,880872448815771648,19844,3467
60,880465832366813184,26536,5625
61,880221127280381952,25132,3775
62,880095782870896641,25751,3930
63,879862464715927552,20858,3162
64,879674319642796034,294,10
65,879492040517615616,21904,2892
66,879415818425184262,98637,40283
67,879376492567855104,15689,2834
68,879130579576475649,0,6167
69,879050749262655488,21027,4263
70,879008229531029506,17735,2427
71,878776093423087618,18080,3708
72,878604707211726852,28103,6424
73,878404777348136964,0,1166
74,878316110768087041,0,6030
75,878281511006478336,7216,1166
76,878057613040115712,39274,6167
77,877736472329191424,73991,17198
78,877611172832227328,0,73
79,877556246731214848,21186,3452
80,877316821321428993,25593,4728
81,877201837425926144,25315,5061
82,876838120628539392,19328,3031
83,876537666061221889,22127,4269
84,876484053909872640,17547,2149
85,876120275196170240,26155,4244
86,875747767867523072,23515,3887
87,875144289856114688,20505,4462
88,875097192612077568,25648,5528
89,875021211251597312,23862,4291
90,874680097055178752,26018,4213
91,874434818259525634,0,13233
92,874296783580663808,24370,3750
93,874057562936811520,21267,3631
94,874012996292530176,32068,9335
95,873697596434513921,0,0
96,873580283840344065,22688,3596
97,873337748698140672,0,1450
98,873213775632977920,6707,1450
99,872967104147763200,25536,4947
100,872820683541237760,13820,3404
101,872668790621863937,0,0
102,872620804844003328,19437,3333
103,872486979161796608,38242,8270
104,872261713294495745,0,0
105,872122724285648897,32178,7393
106,871879754684805121,35286,10039
107,871762521631449091,18989,3198
108,871515927908634625,18944,3186
109,871166179821445120,0,5238
110,871102520638267392,19661,5048
111,871032628920680449,21369,3508
112,870804317367881728,31641,5685
113,870726314365509632,114,3
114,870656317836468226,11609,2416
115,870374049280663552,78130,24368
